sninamn,year,ghg_utsl
jur_ek_hvd,2011,288
jur_ek_hvd,2012,261
jur_ek_hvd,2013,253
jur_ek_hvd,2014,245
jur_ek_hvd,2015,237
jur_ek_hvd,2016,222
jur_ek_hvd,2017,209
jur_ek_hvd,2018,200
jur_ek_hvd,2019,202
jur_ek_hvd,2020,184
jur_ek_hvd,2021,142
jur_ek_hvd,2022,125
jur_ek_hvd,2023,
ark_tek_vet,2003,
ark_tek_vet,2004,
ark_tek_vet,2005,
ark_tek_vet,2006,
ark_tek_vet,2007,
ark_tek_vet,2008,156
ark_tek_vet,2009,157
ark_tek_vet,2010,157
ark_tek_vet,2011,157
ark_tek_vet,2012,148
ark_tek_vet,2013,145
ark_tek_vet,2014,137
ark_tek_vet,2015,139
ark_tek_vet,2016,132
ark_tek_vet,2017,131
ark_tek_vet,2018,130
ark_tek_vet,2019,129
ark_tek_vet,2020,123
ark_tek_vet,2021,116
ark_tek_vet,2022,101
ark_tek_vet,2023,
rek_mrknd,2003,
rek_mrknd,2004,
rek_mrknd,2005,
rek_mrknd,2006,
rek_mrknd,2007,
rek_mrknd,2008,91
rek_mrknd,2009,91
rek_mrknd,2010,88
rek_mrknd,2011,89
rek_mrknd,2012,82
rek_mrknd,2013,78
rek_mrknd,2014,76
rek_mrknd,2015,76
rek_mrknd,2016,72
rek_mrknd,2017,69
rek_mrknd,2018,67
rek_mrknd,2019,65
rek_mrknd,2020,60
rek_mrknd,2021,58
rek_mrknd,2022,50
rek_mrknd,2023,
uthyrf,2003,
uthyrf,2004,
uthyrf,2005,
uthyrf,2006,
uthyrf,2007,
uthyrf,2008,215
uthyrf,2009,237
uthyrf,2010,261
uthyrf,2011,267
uthyrf,2012,256
uthyrf,2013,287
uthyrf,2014,235
uthyrf,2015,246
uthyrf,2016,247
uthyrf,2017,240
uthyrf,2018,257
uthyrf,2019,266
uthyrf,2020,245
uthyrf,2021,255
uthyrf,2022,242
uthyrf,2023,
arbf_res,2003,
arbf_res,2004,
arbf_res,2005,
arbf_res,2006,
arbf_res,2007,
arbf_res,2008,227
arbf_res,2009,222
arbf_res,2010,249
arbf_res,2011,262
arbf_res,2012,245
arbf_res,2013,247
arbf_res,2014,236
arbf_res,2015,238
arbf_res,2016,225
arbf_res,2017,225
arbf_res,2018,222
arbf_res,2019,225
arbf_res,2020,219
arbf_res,2021,221
arbf_res,2022,200
arbf_res,2023,
utbild,2003,
utbild,2004,
utbild,2005,
utbild,2006,
utbild,2007,
utbild,2008,71
utbild,2009,72
utbild,2010,74
utbild,2011,72
utbild,2012,68
utbild,2013,68
utbild,2014,67
utbild,2015,67
utbild,2016,63
utbild,2017,61
utbild,2018,61
utbild,2019,61
utbild,2020,57
utbild,2021,56
utbild,2022,50
utbild,2023,
hls_sjkvrd,2003,
hls_sjkvrd,2004,
hls_sjkvrd,2005,
hls_sjkvrd,2006,
hls_sjkvrd,2007,
hls_sjkvrd,2008,163
hls_sjkvrd,2009,152
hls_sjkvrd,2010,163
hls_sjkvrd,2011,141
hls_sjkvrd,2012,137
hls_sjkvrd,2013,121
hls_sjkvrd,2014,125
hls_sjkvrd,2015,127
hls_sjkvrd,2016,115
hls_sjkvrd,2017,150
hls_sjkvrd,2018,122
hls_sjkvrd,2019,116
hls_sjkvrd,2020,110
hls_sjkvrd,2021,105
hls_sjkvrd,2022,97
hls_sjkvrd,2023,
vrd_oms,2003,
vrd_oms,2004,
vrd_oms,2005,
vrd_oms,2006,
vrd_oms,2007,
vrd_oms,2008,29
vrd_oms,2009,30
vrd_oms,2010,32
vrd_oms,2011,33
vrd_oms,2012,32
vrd_oms,2013,32
vrd_oms,2014,32
vrd_oms,2015,34
vrd_oms,2016,34
vrd_oms,2017,33
vrd_oms,2018,31
vrd_oms,2019,29
vrd_oms,2020,27
vrd_oms,2021,27
vrd_oms,2022,23
vrd_oms,2023,
kult_frit,2003,
kult_frit,2004,
kult_frit,2005,
kult_frit,2006,
kult_frit,2007,
kult_frit,2008,148
kult_frit,2009,148
kult_frit,2010,151
kult_frit,2011,157
kult_frit,2012,150
kult_frit,2013,147
kult_frit,2014,144
kult_frit,2015,144
kult_frit,2016,136
kult_frit,2017,135
kult_frit,2018,128
kult_frit,2019,129
kult_frit,2020,121
kult_frit,2021,120
kult_frit,2022,107
kult_frit,2023,
ann_serv,2003,
ann_serv,2004,
ann_serv,2005,
ann_serv,2006,
ann_serv,2007,
ann_serv,2008,136
ann_serv,2009,130
ann_serv,2010,140
ann_serv,2011,145
ann_serv,2012,127
ann_serv,2013,122
ann_serv,2014,123
ann_serv,2015,119
ann_serv,2016,116
ann_serv,2017,109
ann_serv,2018,106
ann_serv,2019,103
ann_serv,2020,98
ann_serv,2021,95
ann_serv,2022,87
ann_serv,2023,
int_org,2003,
int_org,2004,
int_org,2005,
int_org,2006,
int_org,2007,
int_org,2008,0
int_org,2009,0
int_org,2010,0
int_org,2011,0
int_org,2012,0
int_org,2013,0
int_org,2014,0
int_org,2015,0
int_org,2016,0
int_org,2017,0
int_org,2018,0
int_org,2019,0
int_org,2020,0
int_org,2021,0
int_org,2022,0
int_org,2023,
off_sek,2003,
off_sek,2004,
off_sek,2005,
off_sek,2006,
off_sek,2007,
off_sek,2008,587
off_sek,2009,556
