sni_id,year,ant_for_noll
forsknings,2010,2648
forsknings,2011,2730
forsknings,2012,2793
forsknings,2013,2851
forsknings,2014,2886
forsknings,2015,2916
forsknings,2016,2922
forsknings,2017,2925
forsknings,2018,3196
forsknings,2019,3273
forsknings,2020,3324
forsknings,2021,3403
forsknings,2022,
forsknings,2023,
foretag_for_bev,2000,
foretag_for_bev,2001,
foretag_for_bev,2002,
foretag_for_bev,2003,
foretag_for_bev,2004,
foretag_for_bev,2005,
foretag_for_bev,2006,427
foretag_for_bev,2007,407
foretag_for_bev,2008,367
foretag_for_bev,2009,431
foretag_for_bev,2010,427
foretag_for_bev,2011,383
foretag_for_bev,2012,399
foretag_for_bev,2013,385
foretag_for_bev,2014,431
foretag_for_bev,2015,438
foretag_for_bev,2016,448
foretag_for_bev,2017,461
foretag_for_bev,2018,522
foretag_for_bev,2019,491
foretag_for_bev,2020,493
foretag_for_bev,2021,538
foretag_for_bev,2022,
foretag_for_bev,2023,
foretag_for,2000,
foretag_for,2001,
foretag_for,2002,
foretag_for,2003,
foretag_for,2004,
foretag_for,2005,
foretag_for,2006,8114
foretag_for,2007,8552
foretag_for,2008,8678
foretag_for,2009,10175
foretag_for,2010,10673
foretag_for,2011,10816
foretag_for,2012,11278
foretag_for,2013,11563
foretag_for,2014,11815
foretag_for,2015,11972
foretag_for,2016,11981
foretag_for,2017,12272
foretag_for,2018,13590
foretag_for,2019,14149
foretag_for,2020,14332
foretag_for,2021,14681
foretag_for,2022,
foretag_for,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,3813
forlag,2007,3918
forlag,2008,3586
forlag,2009,4477
forlag,2010,4506
forlag,2011,4543
forlag,2012,4666
forlag,2013,4653
forlag,2014,4778
forlag,2015,4806
forlag,2016,4733
forlag,2017,4936
forlag,2018,5464
forlag,2019,5906
forlag,2020,6223
forlag,2021,6433
forlag,2022,
forlag,2023,
forsakrings,2000,
forsakrings,2001,
forsakrings,2002,
forsakrings,2003,
forsakrings,2004,
forsakrings,2005,
forsakrings,2006,544
forsakrings,2007,532
forsakrings,2008,1020
forsakrings,2009,513
forsakrings,2010,487
forsakrings,2011,461
forsakrings,2012,456
forsakrings,2013,455
forsakrings,2014,449
forsakrings,2015,448
forsakrings,2016,467
forsakrings,2017,484
forsakrings,2018,531
forsakrings,2019,513
forsakrings,2020,467
forsakrings,2021,439
forsakrings,2022,
forsakrings,2023,
forvarvsarbete_ihu,2000,
forvarvsarbete_ihu,2001,
forvarvsarbete_ihu,2002,
forvarvsarbete_ihu,2003,
forvarvsarbete_ihu,2004,
forvarvsarbete_ihu,2005,
forvarvsarbete_ihu,2006,0
forvarvsarbete_ihu,2007,1
forvarvsarbete_ihu,2008,2
forvarvsarbete_ihu,2009,0
forvarvsarbete_ihu,2010,2
forvarvsarbete_ihu,2011,2
forvarvsarbete_ihu,2012,1
forvarvsarbete_ihu,2013,3
forvarvsarbete_ihu,2014,4
forvarvsarbete_ihu,2015,5
forvarvsarbete_ihu,2016,4
forvarvsarbete_ihu,2017,3
forvarvsarbete_ihu,2018,6
forvarvsarbete_ihu,2019,5
forvarvsarbete_ihu,2020,6
forvarvsarbete_ihu,2021,9
forvarvsarbete_ihu,2022,
forvarvsarbete_ihu,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,1898
grafisk,2007,1864
grafisk,2008,1643
grafisk,2009,1883
grafisk,2010,1776
grafisk,2011,1719
grafisk,2012,1728
grafisk,2013,1659
grafisk,2014,1674
grafisk,2015,1639
grafisk,2016,1645
grafisk,2017,1663
grafisk,2018,1707
grafisk,2019,1735
grafisk,2020,1746
grafisk,2021,1738
grafisk,2022,
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,528
gummi,2007,507
gummi,2008,489
gummi,2009,568
gummi,2010,578
gummi,2011,559
gummi,2012,570
gummi,2013,564
gummi,2014,565
gummi,2015,543
gummi,2016,535
gummi,2017,557
gummi,2018,567
gummi,2019,581
gummi,2020,598
gummi,2021,601
gummi,2022,
gummi,2023,
handel_med,2000,
handel_med,2001,
handel_med,2002,
handel_med,2003,
handel_med,2004,
handel_med,2005,
handel_med,2006,11732
handel_med,2007,11720
handel_med,2008,11106
handel_med,2009,12047
handel_med,2010,11980
handel_med,2011,11804
handel_med,2012,11915
handel_med,2013,12058
handel_med,2014,12439
handel_med,2015,12539
handel_med,2016,12610
handel_med,2017,12957
handel_med,2018,14679
handel_med,2019,15133
handel_med,2020,15490
handel_med,2021,15725
handel_med,2022,
handel_med,2023,
hotell_logi,2000,
hotell_logi,2001,
hotell_logi,2002,
hotell_logi,2003,
hotell_logi,2004,
hotell_logi,2005,
hotell_logi,2006,2515
hotell_logi,2007,2605
hotell_logi,2008,2621
hotell_logi,2009,2964
hotell_logi,2010,3048
hotell_logi,2011,3053
hotell_logi,2012,3129
hotell_logi,2013,3131
hotell_logi,2014,3223
hotell_logi,2015,3311
hotell_logi,2016,3363
hotell_logi,2017,3527
hotell_logi,2018,3815
hotell_logi,2019,3817
hotell_logi,2020,3936
hotell_logi,2021,4070
hotell_logi,2022,
hotell_logi,2023,
hushallsproducenter_avd,2000,
hushallsproducenter_avd,2001,
hushallsproducenter_avd,2002,
hushallsproducenter_avd,2003,
hushallsproducenter_avd,2004,
hushallsproducenter_avd,2005,
hushallsproducenter_avd,2006,0
hushallsproducenter_avd,2007,0
hushallsproducenter_avd,2008,0
hushallsproducenter_avd,2009,0
hushallsproducenter_avd,2010,0
hushallsproducenter_avd,2011,0
hushallsproducenter_avd,2012,0
hushallsproducenter_avd,2013,0
hushallsproducenter_avd,2014,0
