sninamn,year,prodvar
hls_sjkvrd,2019,
hls_sjkvrd,2020,
hls_sjkvrd,2021,
hls_sjkvrd,2022,
hls_sjkvrd,2023,
vrd_oms,2003,
vrd_oms,2004,
vrd_oms,2005,
vrd_oms,2006,
vrd_oms,2007,
vrd_oms,2008,
vrd_oms,2009,
vrd_oms,2010,
vrd_oms,2011,
vrd_oms,2012,
vrd_oms,2013,
vrd_oms,2014,
vrd_oms,2015,
vrd_oms,2016,
vrd_oms,2017,
vrd_oms,2018,0
vrd_oms,2019,0
vrd_oms,2020,0
vrd_oms,2021,0
vrd_oms,2022,
vrd_oms,2023,
kult_frit,2003,49
kult_frit,2004,47
kult_frit,2005,51
kult_frit,2006,56
kult_frit,2007,76
kult_frit,2008,90
kult_frit,2009,93
kult_frit,2010,112
kult_frit,2011,117
kult_frit,2012,120
kult_frit,2013,143
kult_frit,2014,151
kult_frit,2015,161
kult_frit,2016,178
kult_frit,2017,178
kult_frit,2018,188
kult_frit,2019,240
kult_frit,2020,224
kult_frit,2021,279
kult_frit,2022,
kult_frit,2023,
ann_serv,2003,265
ann_serv,2004,275
ann_serv,2005,322
ann_serv,2006,298
ann_serv,2007,341
ann_serv,2008,379
ann_serv,2009,382
ann_serv,2010,410
ann_serv,2011,419
ann_serv,2012,435
ann_serv,2013,498
ann_serv,2014,398
ann_serv,2015,416
ann_serv,2016,552
ann_serv,2017,435
ann_serv,2018,396
ann_serv,2019,420
ann_serv,2020,345
ann_serv,2021,401
ann_serv,2022,
ann_serv,2023,
off_sek,2003,4679
off_sek,2004,4964
off_sek,2005,5052
off_sek,2006,4603
off_sek,2007,5389
off_sek,2008,5132
off_sek,2009,4242
off_sek,2010,4550
off_sek,2011,5390
off_sek,2012,5530
off_sek,2013,5721
off_sek,2014,6281
off_sek,2015,7227
off_sek,2016,8346
off_sek,2017,8632
off_sek,2018,9643
off_sek,2019,9258
off_sek,2020,9263
off_sek,2021,11105
off_sek,2022,
off_sek,2023,
hsh_icke,2003,
hsh_icke,2004,
hsh_icke,2005,
hsh_icke,2006,
hsh_icke,2007,
hsh_icke,2008,666
hsh_icke,2009,669
hsh_icke,2010,633
hsh_icke,2011,661
hsh_icke,2012,696
hsh_icke,2013,748
hsh_icke,2014,795
hsh_icke,2015,819
hsh_icke,2016,855
hsh_icke,2017,907
hsh_icke,2018,977
hsh_icke,2019,987
hsh_icke,2020,984
hsh_icke,2021,1079
hsh_icke,2022,
hsh_icke,2023,
tot,2003,161661
tot,2004,179111
tot,2005,189519
tot,2006,219142
tot,2007,259936
tot,2008,296645
tot,2009,273890
tot,2010,284998
tot,2011,321549
tot,2012,341933
tot,2013,325660
tot,2014,348346
tot,2015,380752
tot,2016,404910
tot,2017,439415
tot,2018,491201
tot,2019,546428
tot,2020,542999
tot,2021,606180
tot,2022,
tot,2023,
