sni_id,year,ant_for_fem
industri_for_lad,2003,
industri_for_lad,2004,
industri_for_lad,2005,
industri_for_lad,2006,13
industri_for_lad,2007,11
industri_for_lad,2008,11
industri_for_lad,2009,11
industri_for_lad,2010,13
industri_for_lad,2011,15
industri_for_lad,2012,15
industri_for_lad,2013,15
industri_for_lad,2014,15
industri_for_lad,2015,14
industri_for_lad,2016,17
industri_for_lad,2017,19
industri_for_lad,2018,11
industri_for_lad,2019,13
industri_for_lad,2020,15
industri_for_lad,2021,11
industri_for_lad,2022,
industri_for_lad,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,1204
industri_for_met,2007,1191
industri_for_met,2008,1183
industri_for_met,2009,1193
industri_for_met,2010,1137
industri_for_met,2011,1163
industri_for_met,2012,1136
industri_for_met,2013,1134
industri_for_met,2014,1120
industri_for_met,2015,1091
industri_for_met,2016,1039
industri_for_met,2017,1051
industri_for_met,2018,991
industri_for_met,2019,999
industri_for_met,2020,947
industri_for_met,2021,926
industri_for_met,2022,
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,73
industri_for_mot,2007,90
industri_for_mot,2008,97
industri_for_mot,2009,99
industri_for_mot,2010,102
industri_for_mot,2011,96
industri_for_mot,2012,95
industri_for_mot,2013,90
industri_for_mot,2014,89
industri_for_mot,2015,83
industri_for_mot,2016,80
industri_for_mot,2017,66
industri_for_mot,2018,71
industri_for_mot,2019,68
industri_for_mot,2020,63
industri_for_mot,2021,63
industri_for_mot,2022,
industri_for_mot,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,393
industri_for_tra,2007,387
industri_for_tra,2008,379
industri_for_tra,2009,379
industri_for_tra,2010,355
industri_for_tra,2011,338
industri_for_tra,2012,342
industri_for_tra,2013,325
industri_for_tra,2014,322
industri_for_tra,2015,321
industri_for_tra,2016,311
industri_for_tra,2017,293
industri_for_tra,2018,299
industri_for_tra,2019,303
industri_for_tra,2020,289
industri_for_tra,2021,268
industri_for_tra,2022,
industri_for_tra,2023,
rapetroleum,2000,
rapetroleum,2001,
rapetroleum,2002,
rapetroleum,2003,
rapetroleum,2004,
rapetroleum,2005,
rapetroleum,2006,0
rapetroleum,2007,0
rapetroleum,2008,0
rapetroleum,2009,0
rapetroleum,2010,0
rapetroleum,2011,0
rapetroleum,2012,0
rapetroleum,2013,0
rapetroleum,2014,0
rapetroleum,2015,0
rapetroleum,2016,0
rapetroleum,2017,0
rapetroleum,2018,0
rapetroleum,2019,0
rapetroleum,2020,0
rapetroleum,2021,0
rapetroleum,2022,
rapetroleum,2023,
informationstjanstforetag,2000,
informationstjanstforetag,2001,
informationstjanstforetag,2002,
informationstjanstforetag,2003,
informationstjanstforetag,2004,
informationstjanstforetag,2005,
informationstjanstforetag,2006,80
informationstjanstforetag,2007,84
informationstjanstforetag,2008,89
informationstjanstforetag,2009,95
informationstjanstforetag,2010,100
informationstjanstforetag,2011,100
informationstjanstforetag,2012,112
informationstjanstforetag,2013,118
informationstjanstforetag,2014,110
informationstjanstforetag,2015,119
informationstjanstforetag,2016,122
informationstjanstforetag,2017,126
informationstjanstforetag,2018,133
