sni_id,year,ant_for_tio
hushallsproducenter_avd,2018,0
hushallsproducenter_avd,2019,0
hushallsproducenter_avd,2020,0
hushallsproducenter_avd,2021,0
hushallsproducenter_avd,2022,
hushallsproducenter_avd,2023,
huvudkontor_kons,2000,
huvudkontor_kons,2001,
huvudkontor_kons,2002,
huvudkontor_kons,2003,
huvudkontor_kons,2004,
huvudkontor_kons,2005,
huvudkontor_kons,2006,473
huvudkontor_kons,2007,495
huvudkontor_kons,2008,517
huvudkontor_kons,2009,554
huvudkontor_kons,2010,575
huvudkontor_kons,2011,594
huvudkontor_kons,2012,589
huvudkontor_kons,2013,601
huvudkontor_kons,2014,618
huvudkontor_kons,2015,664
huvudkontor_kons,2016,671
huvudkontor_kons,2017,673
huvudkontor_kons,2018,715
huvudkontor_kons,2019,774
huvudkontor_kons,2020,789
huvudkontor_kons,2021,782
huvudkontor_kons,2022,
huvudkontor_kons,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,89
icke_met_andra,2007,86
icke_met_andra,2008,80
icke_met_andra,2009,69
icke_met_andra,2010,68
icke_met_andra,2011,70
icke_met_andra,2012,62
icke_met_andra,2013,71
icke_met_andra,2014,64
icke_met_andra,2015,64
icke_met_andra,2016,69
icke_met_andra,2017,56
icke_met_andra,2018,67
icke_met_andra,2019,69
icke_met_andra,2020,68
icke_met_andra,2021,66
icke_met_andra,2022,
icke_met_andra,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,109
datorer_elek,2007,121
datorer_elek,2008,114
datorer_elek,2009,102
datorer_elek,2010,107
datorer_elek,2011,98
datorer_elek,2012,95
datorer_elek,2013,94
datorer_elek,2014,91
datorer_elek,2015,99
datorer_elek,2016,100
datorer_elek,2017,91
datorer_elek,2018,90
datorer_elek,2019,97
datorer_elek,2020,88
datorer_elek,2021,92
datorer_elek,2022,
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,79
elapparatur,2007,82
elapparatur,2008,70
elapparatur,2009,67
elapparatur,2010,67
elapparatur,2011,64
elapparatur,2012,66
elapparatur,2013,69
elapparatur,2014,70
elapparatur,2015,72
elapparatur,2016,62
elapparatur,2017,66
elapparatur,2018,66
elapparatur,2019,65
elapparatur,2020,63
elapparatur,2021,67
elapparatur,2022,
elapparatur,2023,
farmaceutiska_basp,2000,
farmaceutiska_basp,2001,
farmaceutiska_basp,2002,
farmaceutiska_basp,2003,
farmaceutiska_basp,2004,
farmaceutiska_basp,2005,
farmaceutiska_basp,2006,13
farmaceutiska_basp,2007,13
farmaceutiska_basp,2008,12
farmaceutiska_basp,2009,12
farmaceutiska_basp,2010,14
farmaceutiska_basp,2011,8
farmaceutiska_basp,2012,8
farmaceutiska_basp,2013,7
farmaceutiska_basp,2014,8
farmaceutiska_basp,2015,7
farmaceutiska_basp,2016,9
farmaceutiska_basp,2017,9
farmaceutiska_basp,2018,12
farmaceutiska_basp,2019,12
farmaceutiska_basp,2020,15
farmaceutiska_basp,2021,15
farmaceutiska_basp,2022,
farmaceutiska_basp,2023,
industri_for_lad,2000,
industri_for_lad,2001,
industri_for_lad,2002,
industri_for_lad,2003,
industri_for_lad,2004,
industri_for_lad,2005,
industri_for_lad,2006,11
industri_for_lad,2007,10
industri_for_lad,2008,10
industri_for_lad,2009,10
industri_for_lad,2010,10
industri_for_lad,2011,9
industri_for_lad,2012,8
industri_for_lad,2013,10
industri_for_lad,2014,11
industri_for_lad,2015,11
industri_for_lad,2016,10
industri_for_lad,2017,5
industri_for_lad,2018,7
industri_for_lad,2019,6
industri_for_lad,2020,5
industri_for_lad,2021,6
industri_for_lad,2022,
industri_for_lad,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,926
industri_for_met,2007,914
industri_for_met,2008,851
industri_for_met,2009,828
industri_for_met,2010,887
industri_for_met,2011,867
industri_for_met,2012,841
industri_for_met,2013,799
industri_for_met,2014,781
industri_for_met,2015,774
industri_for_met,2016,790
industri_for_met,2017,739
industri_for_met,2018,758
industri_for_met,2019,755
industri_for_met,2020,756
industri_for_met,2021,746
industri_for_met,2022,
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,64
industri_for_mot,2007,56
industri_for_mot,2008,53
industri_for_mot,2009,58
industri_for_mot,2010,52
industri_for_mot,2011,58
industri_for_mot,2012,61
industri_for_mot,2013,58
industri_for_mot,2014,57
industri_for_mot,2015,62
industri_for_mot,2016,54
industri_for_mot,2017,56
industri_for_mot,2018,54
industri_for_mot,2019,56
industri_for_mot,2020,56
industri_for_mot,2021,47
industri_for_mot,2022,
industri_for_mot,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
